,bag_id,bag_size,method,classifier,mae,pred_pos,true_pos
0,0,100,PACC,SVM,0.14906971206533348,0.6209302879346665,0.77
1,1,100,PACC,SVM,0.015660487306030035,0.44566048730603003,0.43
2,2,100,PACC,SVM,0.10253605902368768,0.7474639409763123,0.85
3,3,100,PACC,SVM,0.13049691497670413,0.5595030850232958,0.69
4,4,100,PACC,SVM,0.12373509165810384,0.21373509165810384,0.09
5,5,100,PACC,SVM,0.19560134895720227,0.7743986510427977,0.97
6,6,100,PACC,SVM,0.14857376042230264,0.6114262395776974,0.76
7,7,100,PACC,SVM,0.12866927674998863,0.6513307232500114,0.78
8,8,100,PACC,SVM,0.07232880627785884,0.19232880627785884,0.12
9,9,100,PACC,SVM,0.01638644304219483,0.4336135569578052,0.45
10,10,100,PACC,SVM,0.054551203743986254,0.42455120374398625,0.37
11,11,100,PACC,SVM,0.21562166752503176,0.7043783324749683,0.92
12,12,100,PACC,SVM,0.05997381077029684,0.5800261892297032,0.64
13,13,100,PACC,SVM,0.16958745440250256,0.6504125455974974,0.82
14,14,100,PACC,SVM,0.025529248648185066,0.46552924864818507,0.44
15,15,100,PACC,SVM,0.05880491266980695,0.27880491266980695,0.22
16,16,100,PACC,SVM,0.027305468809503908,0.5226945311904961,0.55
17,17,100,PACC,SVM,0.08089476831890932,0.14089476831890932,0.06
18,18,100,PACC,SVM,0.14207017599985505,0.6779298240001449,0.82
19,19,100,PACC,SVM,0.06856162424201973,0.5614383757579803,0.63
20,20,100,PACC,SVM,0.10230592671273309,0.6476940732872669,0.75
21,21,100,PACC,SVM,0.0002959011162398939,0.3497040988837601,0.35
22,22,100,PACC,SVM,0.22587761466882872,0.7441223853311713,0.97
23,23,100,PACC,SVM,0.186659651584012,0.703340348415988,0.89
24,24,100,PACC,SVM,0.10106449780576299,0.668935502194237,0.77
25,25,100,PACC,SVM,0.0029535904326218054,0.1870464095673782,0.19
26,26,100,PACC,SVM,0.004354579535529535,0.4556454204644705,0.46
27,27,100,PACC,SVM,0.14089912142611807,0.18089912142611808,0.04
28,28,100,PACC,SVM,0.10227486623273821,0.2522748662327382,0.15
29,29,100,PACC,SVM,0.13767836796681543,0.5423216320331846,0.68
30,30,100,PACC,SVM,0.1325706367610746,0.6074293632389254,0.74
31,31,100,PACC,SVM,0.18108326108533424,0.7789167389146657,0.96
32,32,100,PACC,SVM,0.02716803095963788,0.3471680309596379,0.32
